,loss,mean_squared_error
0,0.00010212868801318109,0.00010212868801318109
1,9.946728096110746e-05,9.946728096110746e-05
2,9.910008520819247e-05,9.910008520819247e-05
3,9.887937630992383e-05,9.887937630992383e-05
4,9.867230983218178e-05,9.867230983218178e-05
5,9.861924627330154e-05,9.861924627330154e-05
6,9.86296872724779e-05,9.86296872724779e-05
7,9.855844837147743e-05,9.855844837147743e-05
8,9.848177433013916e-05,9.848177433013916e-05
9,9.84404468908906e-05,9.84404468908906e-05
10,9.84567595878616e-05,9.84567595878616e-05
11,9.838445839704946e-05,9.838445839704946e-05
12,9.838669939199463e-05,9.838669939199463e-05
13,9.833545482251793e-05,9.833545482251793e-05
14,9.834227239480242e-05,9.834227239480242e-05
15,9.83561112661846e-05,9.83561112661846e-05
16,9.827031317399815e-05,9.827031317399815e-05
17,9.835014498094097e-05,9.835014498094097e-05
18,9.829124610405415e-05,9.829124610405415e-05
19,9.826265159063041e-05,9.826265159063041e-05
20,9.829042392084375e-05,9.829042392084375e-05
21,9.828041220316663e-05,9.828041220316663e-05
22,9.827341273194179e-05,9.827341273194179e-05
23,9.82555648079142e-05,9.82555648079142e-05
24,9.828438487602398e-05,9.828438487602398e-05
25,9.826958557823673e-05,9.826958557823673e-05
26,9.825008601183072e-05,9.825008601183072e-05
27,9.82850615400821e-05,9.82850615400821e-05
28,9.825981396716088e-05,9.825981396716088e-05
29,9.820103150559589e-05,9.820103150559589e-05
30,9.821762068895623e-05,9.821762068895623e-05
31,9.821655112318695e-05,9.821655112318695e-05
32,9.818805119721219e-05,9.818805119721219e-05
33,9.818772377911955e-05,9.818772377911955e-05
34,9.822903666645288e-05,9.822903666645288e-05
35,9.821741696214303e-05,9.821741696214303e-05
36,9.820651757763699e-05,9.820651757763699e-05
37,9.821196726989001e-05,9.821196726989001e-05
38,9.816150122787803e-05,9.816150122787803e-05
39,9.824306471273303e-05,9.824306471273303e-05
40,9.817368118092418e-05,9.817368118092418e-05
41,9.816638339543715e-05,9.816638339543715e-05
42,9.821727144299075e-05,9.821727144299075e-05
43,9.824063454288989e-05,9.824063454288989e-05
44,9.81800549197942e-05,9.81800549197942e-05
45,9.825590677792206e-05,9.825590677792206e-05
46,9.825052256928757e-05,9.825052256928757e-05
47,9.823661093832925e-05,9.823661093832925e-05
48,9.82330966508016e-05,9.82330966508016e-05
49,9.821325511438772e-05,9.821325511438772e-05
50,9.822966967476532e-05,9.822966967476532e-05
51,9.813750511966646e-05,9.813750511966646e-05
52,9.822136053116992e-05,9.822136053116992e-05
53,9.820918057812378e-05,9.820918057812378e-05
54,9.817509271670133e-05,9.817509271670133e-05
55,9.824516018852592e-05,9.824516018852592e-05
56,9.823535947361961e-05,9.823535947361961e-05
57,9.81697448878549e-05,9.81697448878549e-05
58,9.816460806177929e-05,9.816460806177929e-05
59,9.819535625865683e-05,9.819535625865683e-05
60,9.815366502152756e-05,9.815366502152756e-05
61,9.822002175496891e-05,9.822002175496891e-05
62,9.819470869842917e-05,9.819470869842917e-05
63,9.823064465308562e-05,9.823064465308562e-05
64,9.818730177357793e-05,9.818730177357793e-05
65,9.81650227913633e-05,9.81650227913633e-05
66,9.821885032579303e-05,9.821885032579303e-05
67,9.81618941295892e-05,9.81618941295892e-05
68,9.821655839914456e-05,9.821655839914456e-05
69,9.824875451158732e-05,9.824875451158732e-05
70,9.821576531976461e-05,9.821576531976461e-05
71,9.821563435252756e-05,9.821563435252756e-05
72,9.823112486628816e-05,9.823112486628816e-05
73,9.819350088946521e-05,9.819350088946521e-05
74,9.823659638641402e-05,9.823659638641402e-05
75,9.813045471673831e-05,9.813045471673831e-05
76,9.817735553951934e-05,9.817735553951934e-05
77,9.819820115808398e-05,9.819820115808398e-05
78,9.819183469517156e-05,9.819183469517156e-05
79,9.821044659474865e-05,9.821044659474865e-05
80,9.814758959691972e-05,9.814758959691972e-05
81,9.815447265282273e-05,9.815447265282273e-05
82,9.817483078222722e-05,9.817483078222722e-05
83,9.813674114411697e-05,9.813674114411697e-05
84,9.816659439820796e-05,9.816659439820796e-05
85,9.816966485232115e-05,9.816966485232115e-05
86,9.825328743318096e-05,9.825328743318096e-05
87,9.815891098696738e-05,9.815891098696738e-05
88,9.817771933740005e-05,9.817771933740005e-05
89,9.815420344239101e-05,9.815420344239101e-05
90,9.809330367716029e-05,9.809330367716029e-05
91,9.815277735469863e-05,9.815277735469863e-05
92,9.810971096158028e-05,9.810971096158028e-05
93,9.821766434470192e-05,9.821766434470192e-05
94,9.82237615971826e-05,9.82237615971826e-05
95,9.822559513850138e-05,9.822559513850138e-05
96,9.818228136282414e-05,9.818228136282414e-05
97,9.820280683925375e-05,9.820280683925375e-05
98,9.820679406402633e-05,9.820679406402633e-05
99,9.816027159104124e-05,9.816027159104124e-05
